sequences,left,modification,right,

,,དེ+འི+འོ,,

# Grammatical words
a,,ཞེས་- བྱ་བ་,,
a,,ཞེས་- བྱ་བ,,
a1,,ཞེས་- བྱ་- བ+ར་,,
a1,,ཞེས་- བྱ་- བ+ར,,
b,,ཅེས་- བྱ་བ་,,
b,,ཅེས་- བྱ་བ,,
b1,,ཅེས་- བྱ་- བ+ར་,,
b1,,ཅེས་- བྱ་- བ+ར,,
c,,ཅེས་- བྱ་,,
c,,ཅེས་- བྱ,,

# བར་ exceptions
,,དགྲོལ་- བ+ར་,,
,,སྦྱར་- བ+ར་,,
,,གྲོལ་- བ+ར་,,
,,སྦྱོར་- བ+ར་,,
,,གཉེར་- བ+ར་,,
,,འཕེལ་- བ+ར་,,
,,རྒྱ་- བ+ར་,,
,,འདའ་- བ+ར་,,
,,འགྱུར་- བ+ར་,,
,,ཞི་- བ+ར་,,
,,འདོར་- བ+ར་,,
,,སྐྱེ་- བ+ར་,,
,,བྱ་- བ+ར་,,
,,གོ་- བ+ར་,,
,,གཏོར་- བ+ར་,,
,,འཕང་- བ+ར་,,
,,ལྟ་- བ+ར་,,
,,འགྲོ་- བ+ར་,,
,,ཁྱེར་- བ+ར་,,
,,གསང་- བ+ར་,,
,,ཕྲ་- བ+ར་,,
,,གསུང་- བ+ར་,,
,,གཟུང་- བ+ར་,,
,,སྣང་- བ+ར་,,
,,ཐར་- བ+ར་,,
,,མཐོ་- བ+ར་,,
,,ཐར་- བ+ར་,,
,,མཐོ་- བ+ར་,,
,,གསལ་- བ+ར་,,
,,འཐོར་- བ+ར་,,
,,བཅའ་- བ+ར་,,
,,བཟའ་- བ+ར་,,
,,དགའ་- བ+ར་,,
,,སྨྲ་- བ+ར་,,
,,སྤོང་- བ+ར་,,
,,རུང་- བ+ར་,,
,,འདྲ་- བ+ར་,,
,,སེལ་- བ+ར་,,
,,སྤང་- བ+ར་,,
,,འགལ་- བ+ར་,,
,,བྱུང་- བ+ར་,,
,,ལྷུང་- བ+ར་,,
,,བྲལ་- བ+ར་,,
,,གདུང་- བ+ར་,,
,,བདེ་- བ+ར་,,
,,བལྟ་- བ+ར་,,
,,གང་- བ+ར་,,
,,འབྱུང་- བ+ར་,,
,,དྲོ་- བ+ར་,,
,,དྲང་- བ+ར་,,
,,བགྲང་- བ+ར་,,
,,ཚོར་- བ+ར་,,
,,བགྱི་- བ+ར་,,
,,མཐོང་- བ+ར་,,
,,སྲུང་- བ+ར་,,
,,འབྲང་- བ+ར་,,
,,ལྟུང་- བ+ར་,,
,,དབྱེ་- བ+ར་,,
,,སྐྱོ་- བ+ར་,,
,,གཡོ་- བ+ར་,,
,,གཏོང་- བ+ར་,,
,,སྦྱོང་- བ+ར་,,

# pronouns
,,ཁོ་བོ་- ཅག་,,

# Adverbial expressions
,,ལ་- སྩོགས་པ་,, Old Spelling
