ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཀེར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཀྲུགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཀླན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཀླལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཀླས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཀླུབ | ཀླུབ_ད་ལྟ་བ།_ཐ་དད་པ
ཀླུབས | ཀླུབ_སྐུལ་ཚིག_ཐ་དད་པ
ཀློག | ཀློག_ད་ལྟ་བ།_ཐ་དད་པ
ཀློགས | ཀློག_སྐུལ་ཚིག_ཐ་དད་པ
ཀློད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཁུག | ཁུག_ད་ལྟ་བ།_ཐ་མི་དད་པ+འགུགས_སྐུལ་ཚིག_ཐ་དད་པ+འགུགས_སྐུལ་ཚིག_###+ཁུག_མ་འོངས་པ།_ཐ་མི་དད་པ
ཁུགས | ཁུག_འདས་པ།_ཐ་མི་དད་པ
ཁུན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཁུན_འབྲི་ཚུལ
ཁུམ | འགུམ_སྐུལ་ཚིག_ཐ་དད་པ
ཁུམས | བྱ་ཚིག_ཐ་མི་དད་པ+འཁུམས_འབྲི་ཚུལ
ཁུར | ཁུར_འདས་པ།_ཐ་དད་པ+ཁུར_སྐུལ་ཚིག_ཐ་དད་པ+འཁུར_འདས་པ།_ཐ་དད་པ+འཁུར_སྐུལ་ཚིག_ཐ་དད་པ
ཁེ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁེག | ཁེག_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁེག_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཁེགས | ཁེག_འདས་པ།_ཐ་མི་དད་པ
ཁེང | ཁེང_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁེང_མ་འོངས་པ།_###+ཁེང_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁེང_ད་ལྟ་བ།_###
ཁེངས | ཁེང_འདས་པ།_ཐ་མི་དད་པ+ཁེང_འདས་པ།_###
ཁེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁེན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁེབ | ཁེབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁེབ_མ་འོངས་པ།_ཐ་མི་དད་པ
ཁེབས | ཁེབ_འདས་པ།_ཐ་མི་དད་པ
ཁེར | བྱ་ཚིག_###+ཀེར_འབྲི་ཚུལ
ཁེལ | འཁེལ_འདས་པ།_###
ཁོག | འགོག_སྐུལ་ཚིག_ཐ་དད་པ+འགོག_སྐུལ་ཚིག_###
ཁོང | འགེངས_སྐུལ་ཚིག_ཐ་དད་པ
ཁོད | འགད_སྐུལ་ཚིག_ཐ་དད་པ+འགོད_སྐུལ་ཚིག_ཐ་དད་པ
ཁོན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འཁོན_འབྲི་ཚུལ
ཁོབ | འགེབ_སྐུལ་ཚིག_###+འགེབ_སྐུལ་ཚིག_ཐ་དད་པ
ཁོར | འགེར_སྐུལ་ཚིག_ཐ་དད་པ+འགེར_སྐུལ་ཚིག_###+དགར_སྐུལ་ཚིག_###
ཁོལ | འཁོལ_སྐུལ་ཚིག_ཐ་དད་པ+འགེལ_སྐུལ་ཚིག_###+འཁེལ_སྐུལ་ཚིག_###+འཁོལ_སྐུལ་ཚིག_###+འཁེལ_སྐུལ་ཚིག_ཐ་དད་པ+ཁོལ_འདས་པ།_ཐ་མི་དད་པ+ཁོལ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཁོས | འགས_སྐུལ་ཚིག_ཐ་དད་པ
ཁྱག | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཁྱགས | འཁྱགས_འབྲི་ཚུལ+བྱ་ཚིག_ཐ་མི་དད་པ
ཁྱབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྱིགས | འཁྱིག_སྐུལ་ཚིག_ཐ་དད་པ
ཁྱེ | ཁྱེ_ད་ལྟ་བ།_ཐ་དད་པ+ཁྱེས_མ་འོངས་པ།_ཐ་དད་པ+ཁྱེས_ད་ལྟ་བ།_ཐ་དད་པ+ཁྱེ_མ་འོངས་པ།_ཐ་དད་པ
ཁྱེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+འགྱེད_སྐུལ་ཚིག_###
ཁྱེར | འཁྱེར_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱེར_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱེར_འདས་པ།_ཐ་དད་པ+འཁྱེར_འདས་པ།_ཐ་དད་པ
ཁྱེས | འགྱེད_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱེས_འདས་པ།_ཐ་དད་པ+ཁྱེ_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱེས_སྐུལ་ཚིག_ཐ་དད་པ+འགྱེད_སྐུལ་ཚིག_###+ཁྱེ_འདས་པ།_ཐ་དད་པ
ཁྱོག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+ཁྱོག_ད་ལྟ་བ།_ཐ་དད་པ
ཁྱོགས | ཁྱོག_སྐུལ་ཚིག_ཐ་དད་པ+འགྱོག_སྐུལ་ཚིག_ཐ་དད་པ
