id,text,pos,lemma,level,sense,type
1,གནོན,NULL,NULL,1,NULL,1
2,འི,NULL,NULL,1,NULL,1
3,ལ,NULL,NULL,1,NULL,1
4,རེད,NULL,NULL,1,NULL,1
5,དེ,NULL,NULL,1,NULL,1
6,ས,NULL,NULL,1,NULL,1
7,ནས,NULL,NULL,1,NULL,1
8,ར,NULL,NULL,1,NULL,1
9,དང,NULL,NULL,1,NULL,1
10,ཞིག,NULL,NULL,1,NULL,1
11,གི,NULL,NULL,1,NULL,1
12,ཀྱི,NULL,NULL,1,NULL,1
13,ཡོད,NULL,NULL,1,NULL,1
14,ད,NULL,NULL,1,NULL,1
15,དུ,NULL,NULL,1,NULL,1
16,ང,NULL,NULL,1,NULL,1
17,གྱི,NULL,NULL,1,NULL,1
18,ཅིག,NULL,NULL,1,NULL,1
19,དེ་འདྲ,NULL,NULL,1,NULL,1
20,འདི,NULL,NULL,1,NULL,1
21,དགོས,NULL,NULL,1,NULL,1
22,ཨ་ནི,NULL,NULL,1,NULL,1
23,ཁོ,NULL,NULL,1,NULL,1
24,ང་ཚོ,NULL,NULL,1,NULL,1
25,བྱས,NULL,NULL,1,NULL,1
26,གཅིག,NULL,NULL,1,NULL,1
27,འདུག,NULL,NULL,1,NULL,1
28,ཡོད་པ,NULL,NULL,1,NULL,1
29,ནང,NULL,NULL,1,NULL,1
30,ཡིན,NULL,NULL,3,NULL,1
31,ཡིན་ན,NULL,NULL,1,NULL,1
32,ཀྱིས,NULL,NULL,1,NULL,1
33,ཡང,NULL,NULL,1,NULL,1
34,ཡི,NULL,NULL,1,NULL,1
35,གིས,NULL,NULL,1,NULL,1
36,ཟེར,NULL,NULL,1,NULL,1
37,སོང,NULL,NULL,1,NULL,1
38,ག་རེ,NULL,NULL,1,NULL,1
39,དེ་ནས,NULL,NULL,1,NULL,1
40,འགྲོ,NULL,NULL,1,NULL,1
41,ཞེས,NULL,NULL,1,NULL,1
42,ལབ,NULL,NULL,1,NULL,1
43,ཏེ,NULL,NULL,1,NULL,1
44,དེ་ཚོ,NULL,NULL,1,NULL,1
45,གཉིས,NULL,NULL,1,NULL,1
46,སུ,NULL,NULL,1,NULL,1
47,མ་རེད,NULL,NULL,1,NULL,1
48,རེད་པ,NULL,NULL,1,NULL,1
49,བྱེད,NULL,NULL,1,NULL,1
50,བཤད,NULL,NULL,1,NULL,1
51,ཡོང,NULL,NULL,1,NULL,1
52,བསྡད,NULL,NULL,1,NULL,1
53,ནི,NULL,NULL,1,NULL,1
54,བུ་མོ,NULL,NULL,1,NULL,1
55,འདུག་ག,NULL,NULL,1,NULL,1
56,ཁྱོད,NULL,NULL,1,NULL,1
57,ཡག་པོ,NULL,NULL,1,NULL,1
58,ཀྱང,NULL,NULL,1,NULL,1
59,ལས,NULL,NULL,1,NULL,1
60,འོ,NULL,NULL,1,NULL,1
61,གྱིས,NULL,NULL,1,NULL,1
62,མང་པོ,NULL,NULL,1,NULL,1
63,རྗེས,NULL,NULL,1,NULL,1
64,མི,NULL,NULL,1,NULL,1
65,འདྲ་པོ,NULL,NULL,1,NULL,1
66,ཏུ,NULL,NULL,1,NULL,1
67,ཅེས,NULL,NULL,1,NULL,1
68,ཚང་མ,NULL,NULL,1,NULL,1
69,འདྲ་བོ,NULL,NULL,1,NULL,1
70,རེད་བ,NULL,NULL,1,NULL,1
71,སོ་སོ,NULL,NULL,1,NULL,1
72,ཡིན་པ,NULL,NULL,1,NULL,1
73,ན,NULL,NULL,1,NULL,1
74,ཆེན་པོ,NULL,NULL,1,NULL,1
75,རྒྱལ་པོ,NULL,NULL,1,NULL,1
76,དངོས་གནས,NULL,NULL,1,NULL,1
77,རང,NULL,NULL,1,NULL,1
78,བཞག,NULL,NULL,1,NULL,1
79,མི་འདུག,NULL,NULL,1,NULL,1
80,འང,NULL,NULL,1,NULL,1
81,ཆགས,NULL,NULL,1,NULL,1
